timestamp_utc,timestamp_et,session,elapsed_s,full,partial,no_data_kept,errors,iv_coverage,sector_coverage
2026-05-28T19:48:14+00:00,2026-05-28 15:48:14 EDT,manual,204.1,490,4,0,0,0.8785,0.998
2026-05-30T12:02:19+00:00,2026-05-30 08:02:19 EDT,pre-open,182.6,490,4,0,0,0.8765,0.998
2026-05-30T12:05:30+00:00,2026-05-30 08:05:30 EDT,pre-close,185.4,490,4,0,0,0.8765,0.998
2026-06-04T22:36:07+00:00,2026-06-04 18:36:07 EDT,pre-open,176.0,488,6,0,0,0.8725,0.998
2026-06-04T23:22:23+00:00,2026-06-04 19:22:23 EDT,manual,175.8,488,6,0,0,0.8725,0.998
2026-06-04T23:27:03+00:00,2026-06-04 19:27:03 EDT,manual,177.4,488,6,0,0,0.8725,0.998
2026-06-04T23:45:47+00:00,2026-06-04 19:45:47 EDT,manual,173.3,488,6,0,0,0.8725,0.998
2026-06-04T23:49:53+00:00,2026-06-04 19:49:53 EDT,manual,173.4,488,6,0,0,0.8725,0.998
2026-06-05T13:00:06+00:00,2026-06-05 09:00:06 EDT,pre-open,235.7,489,5,0,0,0.8745,0.998
2026-06-05T19:30:06+00:00,2026-06-05 15:30:06 EDT,pre-close,199.2,489,5,0,0,0.8745,0.998
2026-06-07T10:00:11+00:00,2026-06-07 06:00:11 EDT,manual,180.5,489,5,0,0,0.8745,0.998
2026-06-07T10:03:41+00:00,2026-06-07 06:03:41 EDT,manual,175.6,489,5,0,0,0.8745,0.998
